dataset,join_path,accuracy,depth,runtime,accuracy_order
football,weak_team.csv,0.6919831223628692,2,3.834753,"['weak_team.csv' 'differences_stats.csv' 'strong_team.csv'
 'strong_strategy.csv' 'weak_building.csv' 'strong_change_creation.csv'
 'weak_change_creation.csv' 'weak_strategy.csv' 'strong_building.csv']"
kidney_disease,cell_info.csv,0.95,1,2.717452,['cell_info.csv' 'patient_disease.csv' 'blood_analysis.csv']
steel_plate_fault,type_of_fault.csv,1.0,1,9.456725,"['type_of_fault.csv' 'min_measurements.csv' 'luminosity.csv'
 'max_measurements.csv' 'indices.csv' 'edges.csv' 'log_measurements.csv']"
titanic,passenger_info.csv,0.770949720670391,1,2.611457,['passenger_info.csv' 'cabin.csv' 'ticket_info.csv']
